name,handedness,height,weight,avg,HR
Gary Roenicke,R,75,205,0.247,121
Don Lock,R,74,195,0.238,122
Billy Cowan,R,72,170,0.236,40
Billy Smith,B,74,185,0.23,17
Allan Ramirez,R,70,180,0,0
Tony Perez,R,74,175,0.279,379
Chuck Schilling,R,70,160,0.239,23
Hal McRae,R,71,180,0.29,191
Dave Roberts,R,75,215,0.239,49
Brian Allard,R,73,175,0,0
Jim Lefebvre,B,72,180,0.251,74
Fernando Arroyo,R,74,180,0,0
Gary Beare,R,76,205,0,0
Charlie Spikes,R,75,215,0.246,65
Brian Dubois,L,70,165,0,0
Steve Whitaker,L,72,180,0.23,24
Manny Jimenez,L,73,185,0.272,26
Chris Batton,R,76,195,0,0
Duffy Dyer,R,72,187,0.221,30
Ken Henderson,B,74,180,0.257,122
Vance Lovelace,L,77,205,0,0
Greg Thayer,R,71,182,0,0
Vern Fuller,R,73,170,0.232,14
Paul Hartzell,R,77,200,0,0
Wayne Gross,L,74,210,0.233,121
Mike Champion,R,72,185,0.229,2
Ralph Botting,L,72,195,0,0
Paul Casanova,R,76,180,0.225,50
Steve Rogers,R,74,175,0.138,0
Keith Creel,R,74,180,0,0
Terry Crowley,L,72,180,0.25,42
Horace Clarke,B,69,170,0.256,27
Lou Clinton,R,73,185,0.247,65
Larry Cox,R,70,178,0.221,12
Nate Colbert,R,74,190,0.243,173
Phil Roof,R,74,190,0.215,43
Chuck Hinton,R,73,180,0.264,113
Tim Cullen,R,73,185,0.22,9
Tim Harkness,L,74,182,0.235,14
Rick Bosetti,R,71,185,0.25,17
Ron Pruitt,R,72,185,0.269,12
George Foster,R,73,180,0.274,348
Jerry White,B,70,164,0.253,21
Angel Mangual,R,70,178,0.245,22
Ken Gerhart,R,72,190,0.221,24
Mike Hershberger,R,70,175,0.252,26
Jim French,L,68,180,0.196,5
Dave Roberts,L,75,195,0.194,7
Jim Mason,L,74,185,0.203,12
Mike Smith,R,75,180,0,0
Willie Smith,L,72,182,0.248,46
T.R. Bryden,R,76,190,0,0
Jose Arcia,R,75,170,0.215,1
Leon Durham,L,73,185,0.277,147
Tom Makowski,R,71,185,0,0
Paul Householder,B,72,180,0.236,29
Aurelio Rodriguez,R,70,180,0.237,124
Jimmy Stewart,B,72,165,0.237,8
Dick Phillips,L,72,180,0.229,12
Andres Thomas,R,73,170,0.234,42
Ed Crosby,L,74,175,0.22,0
Mike de la Hoz,R,71,175,0.251,25
Frank Taveras,R,72,155,0.255,2
Joe Nossek,R,72,178,0.228,3
Larry Stahl,L,72,175,0.232,36
Jose Cruz,L,72,170,0.284,165
Don Mason,L,71,160,0.205,3
Bill Robinson,R,74,189,0.258,166
Jim Umbarger,L,78,200,0,0
Sal Bando,R,72,195,0.254,242
George Mitterwald,R,74,195,0.236,76
Mike Darr,R,76,190,0,0
Craig Robinson,R,70,165,0.219,0
Bob Tillman,R,76,205,0.232,79
Curt Wardle,L,77,220,0,0
Pat Corrales,R,72,180,0.216,4
Mike Tyson,R,69,170,0.241,27
Rafael Landestoy,B,70,165,0.237,4
Duane Josephson,R,72,190,0.258,23
Duane Walker,L,72,185,0.229,24
Glenn Hubbard,R,69,150,0.244,70
Roger Freed,R,72,190,0.245,22
George Hendrick,R,75,195,0.278,267
Rod Carew,L,72,170,0.328,92
Bob Davis,R,72,180,0.197,6
Toby Harrah,R,72,175,0.264,195
Rick Manning,L,73,180,0.257,56
Israel Sanchez,L,69,170,0,0
Steve Burke,B,74,200,0,0
Gary Matthews,R,74,185,0.281,234
Cesar Geronimo,L,72,165,0.258,51
Billy Bryan,L,76,200,0.216,41
Terry Taylor,R,73,180,0,0
Terry Whitfield,L,73,197,0.281,33
Mario Mendoza,R,71,170,0.215,4
Fred Lynn,L,73,185,0.283,306
Larry Hisle,R,74,193,0.273,166
Graig Nettles,L,72,180,0.248,390
Randy Nosek,R,76,215,0,0
Dave Engle,R,75,210,0.262,31
Narciso Elvira,L,70,160,0,0
Mike Easler,L,72,190,0.293,118
Mark Smith,R,74,215,0,0
Paul Mitchell,R,73,195,0,0
Rick Sweet,B,73,200,0.234,6
Thurman Munson,R,71,190,0.292,113
Rick Monday,L,75,193,0.264,241
Mike Sadek,R,69,165,0.226,5
Mark Belanger,R,73,170,0.228,20
Ron Hunt,R,72,186,0.273,39
Joe Keough,L,72,185,0.246,9
Butch Edge,R,75,203,0,0
Vic Correll,R,70,185,0.229,29
Jackie Hernandez,R,71,165,0.208,12
Tony Solaita,L,72,210,0.255,50
U L Washington,B,71,175,0.251,27
Gary Mielke,R,75,185,0,0
Rick Henninger,R,78,225,0,0
Joe Foy,R,72,215,0.248,58
Ed Goodson,L,75,180,0.26,30
Mark Brown,B,74,190,0,0
Mickey Klutts,R,71,170,0.241,14
Leroy Stanton,R,73,195,0.244,77
Rafael Vasquez,R,72,160,0,0
Len Whitehouse,L,71,175,0,0
Danny Ainge,R,76,175,0.22,2
Adolfo Phillips,R,73,175,0.247,59
Marv Breeding,R,72,175,0.25,7
Steve Adkins,R,78,210,0,0
Dick McAuliffe,L,71,176,0.247,197
Joe Horlen,R,72,170,0.134,0
Glenn Burke,R,72,195,0.237,2
Tony Mack,R,70,177,0,0
Terry Humphrey,R,75,185,0.211,6
Bill Moran,R,76,210,0,0
Enzo Hernandez,R,68,155,0.224,2
Cesar Gutierrez,R,69,155,0.235,0
Coco Laboy,R,70,165,0.233,28
Ted Kubiak,B,72,175,0.231,13
Jim Morrison,R,71,175,0.26,112
Tom Gilles,R,73,185,0,0
Bobby Knoop,R,73,170,0.236,56
Bobby Brown,B,74,190,0.245,26
Tom Hutton,L,71,180,0.248,22
Ron Hodges,L,73,185,0.24,19
Rich Chiles,L,71,170,0.254,6
Tom Paciorek,R,76,215,0.282,86
Gary Woods,R,74,185,0.243,13
Bob Montgomery,R,73,195,0.258,23
Jeff Burroughs,R,73,200,0.261,240
Rusty Staub,L,74,190,0.279,292
Jim Norris,L,70,175,0.264,7
Oscar Gamble,L,71,160,0.265,200
Bob Kammeyer,R,76,210,0,0
George Vukovich,L,72,198,0.268,27
Joe Pactwa,L,71,185,0,0
Craig Reynolds,L,73,175,0.256,42
Paul Blair,R,72,168,0.25,134
Al Cowens,R,73,197,0.27,108
Al Oliver,L,72,195,0.303,219
Dave Hilton,R,71,191,0.213,6
Luis Alvarado,R,69,162,0.214,5
Larry Parrish,R,75,190,0.263,256
Woodie Fryman,R,75,197,0.138,2
Bob Randall,R,74,175,0.257,1
Jim Pankovits,R,70,170,0.25,9
Sherman Corbett,L,76,205,0,0
Carmen Fanzone,R,72,200,0.224,20
Gary Allenson,R,71,185,0.221,19
Milt May,L,72,190,0.263,77
Mike Vail,R,73,180,0.279,34
Nick Esasky,R,75,200,0.25,122
Jim Nettles,L,72,186,0.22,16
Lafayette Currence,B,71,175,0,0
Chris Cannizzaro,R,72,190,0.235,18
Larry Biittner,L,74,205,0.273,29
John Pawlowski,R,74,175,0,0
Mel Stottlemyre,R,73,178,0.16,7
Jack Hardy,R,74,175,0,0
Ron Musselman,R,74,185,0,0
Roy Smalley,B,73,185,0.257,163
Tony Chevez,R,71,177,0,0
Andy Messersmith,R,73,200,0.17,5
Richie Zisk,R,73,200,0.287,207
Dave Chalk,R,70,175,0.252,15
Don Baylor,R,73,190,0.26,338
John Vukovich,R,73,187,0.161,6
Danny Thompson,R,72,183,0.248,15
Joe Simpson,L,75,175,0.242,9
Bill Fahey,L,72,200,0.241,7
Doug Camilli,R,71,195,0.199,18
Bernie Allen,L,72,175,0.239,73
Bruce Bochy,R,75,205,0.239,26
Gary Ignasiak,R,71,185,0,0
Claudell Washington,L,72,190,0.278,164
John Donaldson,L,71,160,0.238,4
Mike Smithson,L,80,215,0,0
John Mayberry,L,75,215,0.253,255
Ken Reitz,R,72,180,0.26,68
Amos Otis,R,71,165,0.277,193
Gene Alley,R,70,160,0.254,55
Ted Sizemore,R,70,165,0.262,23
Dan Briggs,L,72,180,0.195,12
Joe Skalski,R,75,190,0,0
Doug Flynn,R,71,165,0.238,7
Bert Bradley,B,73,190,0,0
Ken Holtzman,R,74,175,0.163,2
Pete Ward,L,73,185,0.254,98
Kevin Bell,R,72,195,0.222,13
Tom Nieto,R,73,193,0.205,5
Duke Sims,L,74,197,0.239,100
Larvell Blanks,R,68,167,0.253,20
Francisco Barrios,R,71,155,0,0
Mike Davis,L,74,175,0.259,91
Jerry Reuss,L,77,200,0.167,1
Steve Yeager,R,72,190,0.228,102
Danny Goodwin,L,73,195,0.236,13
Bud Harrelson,B,71,160,0.236,7
Bob Knepper,L,75,195,0.137,6
Mickey Rivers,L,70,165,0.295,61
Jim Northrup,L,75,190,0.267,153
John Hale,L,74,195,0.201,14
Reggie Ritter,L,74,195,0,0
Pedro Garcia,R,70,175,0.22,37
Carl Yastrzemski,L,71,175,0.285,452
Bob Babcock,R,77,210,0,0
Craig Eaton,R,71,175,0,0
Derrel Thomas,B,72,160,0.249,43
Art Howe,R,74,190,0.26,43
Ike Brown,R,72,190,0.256,20
Howie Goss,R,76,204,0.216,11
Glenn Borgmann,R,76,210,0.229,16
Lamar Johnson,R,74,215,0.287,64
Julio Gonzalez,R,71,162,0.235,4
Bobby Klaus,R,70,170,0.208,6
Manny Sanguillen,R,72,193,0.296,65
Gates Brown,L,71,220,0.257,84
Johnny Ray,B,71,170,0.29,53
Jesus Alou,R,74,190,0.28,32
Ken Landreaux,L,70,165,0.268,91
Enos Cabell,R,76,170,0.277,60
Roy Branch,R,72,175,0,0
Billy North,B,71,185,0.261,20
Juan Beniquez,R,71,150,0.274,79
Frank Fernandez,R,72,185,0.199,39
Bombo Rivera,R,70,187,0.265,10
Steve Brye,R,72,190,0.258,30
Ron Jackson,R,72,200,0.259,56
Roger Metzger,B,72,165,0.231,5
Rufino Linares,R,72,170,0.27,11
Ray Webster,L,72,185,0.244,17
Bob Kearney,R,72,190,0.233,27
Fergie Jenkins,R,77,205,0.165,13
Dick Dietz,R,73,195,0.261,66
Ted Cox,R,75,195,0.245,10
Bobby Mitchell,L,70,170,0.243,3
Bobby Mitchell,R,75,185,0.235,21
Barry Evans,R,73,180,0.251,2
Mickey Brantley,R,70,180,0.259,32
Al Gallagher,R,72,180,0.263,11
Rob Woodward,R,75,185,0,0
Hector Cruz,R,71,170,0.225,39
Fred Norman,B,68,155,0.125,0
Woody Woodward,R,74,180,0.236,1
Ted Martinez,R,72,165,0.24,7
Jim Anderson,R,72,170,0.218,13
Lenn Sakata,R,69,160,0.23,25
Dave Duncan,R,74,190,0.214,109
Randy Jones,R,72,178,0.132,0
Dick Billings,R,73,195,0.227,16
Bob Veselic,R,72,175,0,0
Bruce Bochte,L,75,195,0.282,100
Bernie Carbo,L,71,173,0.264,96
Vic Davalillo,L,67,150,0.279,36
Burt Hooton,R,73,210,0.123,4
Chuck Hockenbery,B,73,195,0,0
Bob Ferris,R,78,225,0,0
Fernando Gonzalez,R,70,165,0.235,17
Jim Sundberg,R,72,190,0.248,95
Andy Kosco,R,75,205,0.236,73
Steve Huntz,B,73,204,0.206,16
Gary Wheelock,R,75,205,0,0
Lenny Faedo,R,72,170,0.251,5
John Lowenstein,L,72,175,0.253,116
Don Kessinger,B,73,170,0.252,14
Joe Hague,L,72,195,0.239,40
Bake McBride,L,74,190,0.299,63
Dick Davis,R,75,190,0.265,27
Richie Scheinblum,B,73,180,0.263,13
Ed Herrmann,L,73,195,0.24,80
Mike Rochford,L,76,205,0,0
Jeff Schneider,B,75,195,0,0
Bob Molinaro,L,72,190,0.264,14
Mike Hegan,L,73,188,0.242,53
Mike Diaz,R,74,195,0.247,31
Tim Foli,R,72,179,0.251,25
Alan Knicely,R,72,190,0.213,12
Tim Laudner,R,75,212,0.225,77
Jose Morales,R,71,187,0.287,26
Luis Encarnacion,R,70,178,0,0
Rick Kreuger,R,74,185,0,0
Juan Marichal,R,72,185,0.165,4
Vida Blue,B,72,189,0.104,4
Angel Moreno,L,69,165,0,0
Roger Weaver,R,75,190,0,0
Stan Papi,R,72,170,0.218,7
Rob Wilfong,L,73,180,0.248,39
Chris Knapp,R,77,195,0,0
Steve Henderson,R,74,190,0.28,68
Rob Picciolo,R,74,185,0.234,17
Don Welchel,R,76,205,0,0
Randy Wiles,L,73,185,0,0
Roberto Pena,R,68,170,0.245,13
Bob Dernier,R,72,160,0.255,23
Bill Melton,R,74,200,0.253,160
Albert Hall,B,71,155,0.251,5
Barbaro Garbey,R,70,170,0.267,11
John Milner,L,72,185,0.249,131
Rich Reese,L,75,185,0.253,52
Chris Bando,B,72,195,0.227,27
Bill Buckner,L,72,185,0.289,174
Jack Hiatt,R,74,190,0.251,22
Nelson Mathews,R,76,195,0.223,22
Larry Lintz,B,69,150,0.227,0
Ron Theobald,R,68,165,0.248,2
Dewey Robinson,R,72,180,0,0
Rafael Santana,R,73,165,0.246,13
Jerry Hairston,B,70,170,0.258,30
Tony Arnold,R,71,170,0,0
Jeff Schattinger,L,77,200,0,0
Ike Brookens,R,77,170,0,0
Tommie Aaron,R,75,190,0.229,13
Steve Dillard,R,73,180,0.243,13
Win Remmerswaal,R,74,160,0,0
Jeff Peterek,R,74,195,0,0
George Scott,R,74,200,0.268,271
Jeff Shaver,R,75,195,0,0
Ken Walters,R,73,180,0.231,11
Gorman Thomas,R,74,210,0.225,268
Paul Dade,R,73,185,0.27,10
Darrell Porter,L,72,193,0.247,188
Tim Johnson,L,73,170,0.223,0
Fred Stanley,R,70,165,0.216,10
Larry Bowa,B,70,155,0.26,15
Tim Corcoran,L,71,175,0.27,12
Jim Spencer,L,74,195,0.25,146
Pete LaCock,L,74,200,0.257,27
Carl Morton,R,72,200,0.156,7
Gary Gray,R,72,187,0.24,24
Matty Alou,L,69,160,0.307,31
Pete Filson,B,74,195,0,0
Jim Dwyer,L,70,165,0.26,77
Dalton Jones,L,73,180,0.235,41
Rennie Stennett,R,71,160,0.274,41
Jim Gideon,R,75,190,0,0
Jerry May,R,74,190,0.234,15
Rich McKinney,R,71,185,0.225,20
Clint Hurdle,L,75,195,0.259,32
Mike Andrews,R,75,195,0.258,66
Bobby Clark,R,72,190,0.239,19
Jeff Twitty,L,74,185,0,0
Cliff Johnson,R,76,215,0.258,196
Steve Cummings,B,74,200,0,0
Donn Clendenon,R,76,209,0.274,159
Charlie James,R,73,195,0.255,29
Bob Horner,R,73,195,0.277,218
Tom Veryzer,R,73,175,0.241,14
Jose Cecena,R,71,180,0,0
George Smith,R,70,170,0.205,9
Jim Essian,R,74,195,0.244,33
Onix Concepcion,R,66,160,0.239,3
Boots Day,L,69,160,0.256,8
Brian Giles,R,73,165,0.228,10
Garry Maddox,R,75,175,0.285,117
Alex Trevino,R,70,165,0.249,23
Jim Price,R,72,192,0.214,18
Felix Millan,R,71,172,0.279,22
Steve Garvey,R,70,192,0.294,272
Don Mincher,L,75,205,0.249,200
Greg Erardi,R,73,190,0,0
Jim Farr,R,73,195,0,0
Tony Cloninger,R,72,210,0.192,11
Jim Gosger,L,71,185,0.226,30
Chuck Harrison,R,70,185,0.238,17
Mike Ivie,R,75,205,0.269,81
Frank Dimichele,R,75,205,0,0
Bob Veale,B,78,212,0.114,0
Marvell Wynne,L,71,175,0.247,40
Dusty Baker,R,74,183,0.278,242
Tucker Ashford,R,73,195,0.218,6
Ned Yost,R,73,190,0.212,16
Bob Stinson,B,71,180,0.25,33
Mike Warren,R,73,175,0,0
Gaylord Perry,R,76,205,0.131,6
Dave Marshall,L,73,182,0.246,16
Mickey Hatcher,R,74,200,0.28,38
Roger Repoz,L,75,190,0.224,82
Bill Fulton,R,75,195,0,0
John Orsino,R,75,215,0.249,40
Larry Anderson,R,75,190,0,0
Johnny Briggs,L,73,190,0.253,139
Craig Mitchell,R,75,180,0,0
Dave Hostetler,R,76,215,0.229,37
Bob Jones,L,74,195,0.221,20
Keith Hernandez,L,72,180,0.296,162
Alfredo Martinez,R,75,185,0,0
Dean Chance,R,75,200,0.066,0
Willie Upshaw,L,72,185,0.262,123
Dick Green,R,70,180,0.24,80
Dane Iorg,L,72,180,0.276,14
Richie Hebner,L,73,195,0.276,203
Fran Healy,R,77,220,0.25,20
Doc Edwards,R,74,215,0.238,15
Sandy Alomar,B,69,140,0.245,13
Joe Strain,R,70,169,0.25,1
Gene Richards,L,72,175,0.29,26
Buddy Bell,R,73,180,0.279,201
Al Woods,L,75,190,0.271,35
Rudy Law,L,73,165,0.271,18
Joel Davis,L,77,205,0,0
Jody Davis,R,76,192,0.245,127
Mike Edwards,R,70,154,0.25,2
Bill Mooneyham,R,72,175,0,0
John Hobbs,R,75,190,0,0
Deron Johnson,R,74,200,0.244,245
John Denny,R,75,185,0.17,0
Don Wert,R,70,162,0.242,77
Mike Fiore,L,72,175,0.227,13
Miguel Dilone,B,72,160,0.265,6
Greg Luzinski,R,73,220,0.276,307
Bobby Tolan,L,71,170,0.265,86
Karl Best,R,76,190,0,0
Steve Barr,L,76,200,0,0
Ron Woods,R,70,168,0.233,26
Tony Horton,R,75,210,0.268,76
Randy Hundley,R,71,170,0.236,82
Jose Tartabull,L,71,165,0.261,2
Ben Oglivie,L,74,160,0.273,235
Luis Sanchez,R,74,170,0,0
Bob Johnson,R,70,175,0.272,44
Don Buford,B,67,160,0.264,93
Duane Kuiper,L,72,175,0.271,1
Brant Alyea,R,75,215,0.247,38
Jerry Narron,L,75,205,0.211,21
Lou Johnson,R,71,170,0.258,48
Ken Retzer,L,72,185,0.264,14
Mike Brown,R,74,195,0.265,23
Mike Brown,R,74,195,0,0
Greg Walker,L,75,205,0.26,113
Terry Harper,R,76,195,0.253,36
Jerry Royster,R,72,165,0.249,40
Steve Davis,L,73,195,0,0
Jeff Rineer,L,76,205,0,0
Barry Bonnell,R,75,190,0.272,56
Tom Seaver,R,73,195,0.154,12
Jerry Martin,R,73,195,0.251,85
Bill Stein,R,70,170,0.267,44
Joel Youngblood,R,72,180,0.265,80
Reggie Jackson,L,72,195,0.262,563
Sonny Jackson,L,69,150,0.251,7
Mark Mercer,L,77,220,0,0
Rodney Scott,B,72,160,0.236,3
Rich Coggins,L,68,170,0.265,12
Phil Gagliano,R,73,180,0.238,14
Jerry McNertney,R,72,180,0.237,27
Mitchell Page,L,74,205,0.266,72
Kiko Garcia,R,71,180,0.239,12
Larry Milbourne,B,72,161,0.254,11
Bill Sudakis,B,73,190,0.234,59
John Caneira,R,75,180,0,0
Domingo Ramos,R,70,154,0.24,8
Ron Oester,B,74,185,0.265,42
Glenn Adams,L,73,180,0.28,34
Clint Zavaras,R,73,175,0,0
Joe Morgan,L,67,160,0.271,268
R.J. Reynolds,B,72,190,0.267,35
Mike Parrott,R,76,210,0,0
Lee Thomas,L,74,195,0.255,106
Ray Fosse,R,74,215,0.256,61
Paul Popovich,B,72,175,0.233,14
John Stephenson,L,71,180,0.216,12
Doug Clemens,L,72,180,0.229,12
Luis Aponte,R,72,185,0,0
Orlando Mercado,R,72,180,0.199,7
Charley Smith,R,73,170,0.239,69
Paul Boris,R,74,200,0,0
Buddy Biancalana,B,71,160,0.205,6
De Wayne Buice,R,72,170,0,0
Bob Uecker,R,73,190,0.2,14
Felix Torres,R,71,165,0.254,27
Steve Braun,L,70,180,0.271,52
Ray Knight,R,73,185,0.271,84
Ty Cline,L,72,170,0.238,6
Thad Bosley,L,75,175,0.272,20
Bobby Grich,R,74,180,0.266,224
Jimmie Hall,L,72,175,0.254,121
John Boccabella,R,73,195,0.219,26
Brock Davis,L,70,160,0.26,1
Mark Esser,R,73,190,0,0
Curt Blefary,L,74,195,0.237,112
Daryl Smith,R,76,185,0,0
Dave Smith,R,73,190,0,0
Mack Jones,L,73,180,0.252,133
Buddy Bradford,R,71,170,0.226,52
Hosken Powell,L,73,175,0.259,17
Dave Stapleton,L,73,185,0,0
Dave Stapleton,R,73,178,0.271,41
Gary Ward,R,74,195,0.276,130
Jim Lonborg,R,77,200,0.136,3
Joe Lis,R,72,175,0.233,32
Dan Meyer,L,71,180,0.253,86
