screen_name,tweet
kdnuggets,"#DataMining Specialization on Coursera, top UIUC professors, 5 courses, earn a certificate, $49/course #MOOC http://t.co/AsxOMvv8le"
kdnuggets,"Starts today, free on @Coursera: Pattern Discovery in #DataMining, by top researcher Jiawei Han #MOOC #DataScience http://t.co/w5v7SUte25"
kdnuggets,"Upcoming Webcasts on Analytics, Big Data, Data Science - Feb 10 and beyond http://t.co/YQnAAZMmDC"
kdnuggets,"RT @data_nerd: .@kdnuggets @BurtchWorks @IEGroup Nice article but women are sorely under represented in #STEM and Big data analytics, let's…"
kdnuggets,Zerocoin can perform genuinely anonymous #cryptocurrency transactions unlike #bitcoin http://t.co/JPMlfPrOMo http://t.co/6MW3Li0xWK
kdnuggets,Unusual @Kaggle /Microsoft #DataScience challenge: Classify malware into #virus families  http://t.co/eDZOYdr5Ai http://t.co/3G2cY6J1gi
kdnuggets,"PhotoTime mobile app uses  #DeepLearning to tag photos, recognizes faces, saves meta-data on your smartphone http://t.co/vcq7ofFJvr"
kdnuggets,"Top /r/MachineLearning posts, Feb 1-7 http://t.co/SQ7wtWmAS6"
kdnuggets,"Lex Machina, Stanford-bred #startup uses #analytics, #patent DB, to predict Judges, Lawyers #BigDataCo http://t.co/LPwwRZYMZF"
kdnuggets,"Paris history, captured in its streets, visualized with R #rstats, OpenStreetMap data http://t.co/iOIZre7DZU http://t.co/RkThvJJEz7"
kdnuggets,"Hortonworks, Aetna, Merck, Target, SAS set a common #Data #Governance Initiative (DGI) to work across all systems http://t.co/vqURnir7KY"
kdnuggets,R U There? @NewYorker on a new counseling service which uses text messages http://t.co/8tMO8jVuxH http://t.co/96yr8WGc2d
kdnuggets,Top 30 people in Big Data and Analytics http://t.co/mxHeAGV4dK
kdnuggets,"Inovalon Holdings, MD health-tech firm with a focus on data #analytics, plans #IPO to raise $600M #BigDataCo http://t.co/qN0WGOiWAK"
kdnuggets,"Should you teach #Python or R #rstats for #DataScience? Python for programmers, industry; R for academia http://t.co/feiyoNNmFg"
kdnuggets,Facebook Open Sources deep-learning modules for Torch http://t.co/oYfTfOc16P
kdnuggets,Databox software can both safeguard your personal #Data and sell it for you #privacy #BigData http://t.co/Ow0VO9qC8c http://t.co/rcelb6l18a
kdnuggets,"Zapproved, a Portland OR #startup helping business with data-retention rules, eDiscovery, raised $15M #BigDataCo http://t.co/ZoME3yB2lN"
kdnuggets,"Bill Gates, like Elon Musk, Stephen Hawking, is concerned about Super #Intelligence #AI=scary? http://t.co/2riNEc0fnX http://t.co/Eq4PJb0jSb"
kdnuggets,Where's Waldo ruined by a PhD student & #MachineLearning - here is the optimal search path http://t.co/PCAqIHiMW7 http://t.co/Yk61MW4pef
kdnuggets,"RT @KirkDBorne: #DataScience also includes Smart Data Structures for #BigData Search, Retrieval, Exploration: https://t.co/d4cp7mP3Gf http:…"
kdnuggets,"Yhat ScienceBox helps #DataScience Teams to create, share projects TechCrunch http://t.co/ll0Bv0kxYw http://t.co/mLGfc2CVXc"
kdnuggets,"Uber is Hiring ""like crazy"" for #BigData, Marketing, #DataScience in #Boston http://t.co/vfmEbNucj6 http://t.co/xvv9u3U8fr"
kdnuggets,Great Tutorial: Getting Started with Apache #Spark and #Python #BigData http://t.co/xc1GZr66BG http://t.co/zoGnGbxxW6
kdnuggets,"#MachineLearning with #AzureML - Great 10-step tutorial: Multi-Class Classifier with Azure ML, Iris data http://t.co/2EMJM1MhX7"
kdnuggets,"Meet the artist who snooped on Google data farm: cooling towers, pumps & blank walls http://t.co/vOkeUOTQHn http://t.co/OQtZrg8HOT"
kdnuggets,Top stories for Feb 1-7: Avoiding a Common Mistake with Time Series; Top Big Data Influencers and Brands http://t.co/XxANBkc2AP
kdnuggets,Watch: #MachineLearning for Journalism at @NYTimes - interesting talk http://t.co/zlxuj4idX1
kdnuggets,PSINET algorithm finds the best person in a homeless community to help spread HIV information among homeless teens http://t.co/AxyHazwxQV
kdnuggets,HedgeChatter @StockSentiment Case Study: Stock Price Manipulation Detection via #SocialMedia analysis http://t.co/YdW4MAgYkf
kdnuggets,"US biz lead in #BigData investment (38%), EMEA (27%), Asia/Pacific (36%), Latin America (18%) http://t.co/DYj7WQROUO http://t.co/jZxkcrcsfR"
kdnuggets,"Medical #BigData finds new biological Networks, Hidden Connections between different diseases http://t.co/Oa87JUlzHt http://t.co/afQCKyjLNr"
kdnuggets,"2014 Was Best-Ever Year For Israeli Startups, with $15B in exits in #mobile, #fintech, #security, more #BigDataCo http://t.co/J0XiGXmgJj"
kdnuggets,Don't Torture #BigData: @SAP #Lumira automatically proposes best #visualization for your data http://t.co/dXmTLZ9MJC http://t.co/QmkZpDDhcj
kdnuggets,When It's Ok to Use Word Clouds - interesting lesson in #Data #Visualization #DataViz http://t.co/wqDCvUhsON http://t.co/MkxiR4YHrv
kdnuggets,@bbengfort love your getting started with Spark and Python post - can we repost it on KDnuggets?
kdnuggets,"Sight Machine, #SF #startup, raised $5M to help manufacturers get a handle on their data #BigDataCo http://t.co/lJL3jWkV6x"
kdnuggets,"Meeter #startup uses #BigData to build the perfect meeting, even with diff. identity servers http://t.co/eDg6ZBYZpc http://t.co/ltuPsZyKrx"
kdnuggets,"Mode #Analytics #startup wants to be #github for data scientists, make #SQL in the cloud easy http://t.co/VALZ7LQEb4 http://t.co/dMv9apvFKv"
kdnuggets,Obama #BigData #privacy plans get support from US lawmakers  http://t.co/mW60owgNK3 http://t.co/j69ltqErrp
kdnuggets,RT @mashable: Photo of Trifid Nebula has a surprise in it -- two new stars http://t.co/cC0PnHLVb3 via @spacedotcom http://t.co/OjluNnW7nh
kdnuggets,"@jtleek love your post ""10 things statistics taught us about big data analysis"" - can we repost in KDnuggets, as part of best practices?"
kdnuggets,"Very useful: 10 things statistics teaches about #BigData analysis: when to average, smooth... http://t.co/C0iWmjPQzR http://t.co/QtTiX24kNQ"
kdnuggets,"#BigData pivot by @Pivotal? Drop or Open-source its #Hadoop distro, which loses to @Cloudera, @MapR, @Hortonworks http://t.co/2uxLAPiB3E"
kdnuggets,".@data_nerd congrats on being among Women in Data: Top Practitioners on Critical Skills, Background, Education http://t.co/780cw7h9Hl"
kdnuggets,"Women in Data: Top Practitioners on Critical Skills, Background, and Education http://t.co/tXhGOPbpAR"
kdnuggets,"Get practical training at PASS Business Analytics Conference, Santa Clara, April 20-22 http://t.co/Gu2HtVj061"
kdnuggets,Free online #DataMining and #MachineLearning courses at @Coursera by top Stanford professors http://t.co/YtVgWbBtxt
kdnuggets,"Top stories in January: (Deep Learning Deep Flaws) Deep Flaws; Research Leaders on key trends, papers http://t.co/XNxDN0YCI5"
kdnuggets,"AWS has 28% of cloud infrastructure market, but Microsoft is fastest growing (has 10%), IBM (7%), Google (5%) http://t.co/X8h6a968wv"
kdnuggets,"Palantir buys Fancy That #startup to add retail, shopping data to its #analytics platform #BigDataCo http://t.co/yKauPB8fC2"
kdnuggets,"Top KDnuggets tweets, Feb 4-5: Clarifai Machine Learning software can understand what is in your videos http://t.co/DjYRhACrHX"
kdnuggets,VITAL #algorithm uses #BigData to make investment recommendations about life sciences firms #BigDataCo http://t.co/HhRY8Xn2at
kdnuggets,"#Future Is Here: VC firm made an #algorithm (!!) part of its board, to vote on investments http://t.co/FbapQG0YFP http://t.co/vJoKeRbIuN"
kdnuggets,"Twitter: Also Nasty, Brutish, and Short - now its CEO promises to fix the ""nasty"" part http://t.co/mTRkZjOYLh http://t.co/aV219IW15n"
kdnuggets,Holding your #Data Hostage - the perfect internet crime? Beware of dangerous Ransomware virus http://t.co/uun7pAKCAe http://t.co/Mb6XTFaklk
kdnuggets,"#Twitterversary KDnuggets Twitter is 6 years old today ! From 0 to 29,500 followers, covering #BigData #Analytics #DataScience #DataMining"
kdnuggets,"Interview: Jason Bloomberg, Intellyx on the Tricky Balance of Optimization and Innovation http://t.co/H3cuLCpqG7"
kdnuggets,When too few #databases become too many databases? An opportunity for data unification platforms like @Tamr_Inc  http://t.co/KcUddXwrSR
kdnuggets,"How-to: Do Real-time #BigData Discovery w. @Cloudera Enterprise, Qlik Sense http://t.co/7MpbYTvFht http://t.co/T82kNKKB9k"
kdnuggets,"Brains or a Bull Market? 2014 was a great year for VCs, with many  $1B+ exits http://t.co/jOlX3fuzbo http://t.co/J8eNIbm7R9"
kdnuggets,"Top /r/MachineLearning posts, Jan 25-31 http://t.co/8zumNd6IIG"
kdnuggets,Why #GoogleGlass Broke - great story in @NYTimes http://t.co/UX1yaMtcV0 http://t.co/EcEBbFX6WN
kdnuggets,Two Most Important Trends in Analytics and Big Data in 2015 http://t.co/aOttbENhTw
kdnuggets,How Many Quants are Changing Jobs? http://t.co/u0w01Aqil7
kdnuggets,"How Big Data Pieces, Technology, and Animals fit together http://t.co/eMbGBmqS4m"
kdnuggets,Top Data Scientist @DPatil joined the #WhiteHouse as a data scientist-in-residence with a focus on #healthcare data http://t.co/5lJJsANces
kdnuggets,"Algorithm, Bengaluru and US-based data analytics firm, raised $161K seed funding #BigDataCo http://t.co/cGC6NQbMHD"
kdnuggets,"TrialReach, London-based firm, raises $13.5M Series B to Match Patients To Clinical Trials #BigDataCo http://t.co/YMRvMwC4WA"
kdnuggets,"Google #Collaborative Economy big entry: Uber investment, P2P loans, @Airbnb partner @Jowyang http://t.co/EtlYcdQPq9 http://t.co/GSHHoAsyjv"
kdnuggets,@dpatil congratulations on your #WhiteHouse Data Scientist position!  We look forward to more #data-driven #healthcare decisions
kdnuggets,Watch: #Deeplearning - great #Intro lecture at Oxford by Nando de Freitas #MachineLearning #BigData http://t.co/UWQ2utbiZD
kdnuggets,"15 #India #BigData companies to watch for: Sigmoid Analytics, Flutura, Fractal Analytics, CrayonData, Bridgei2i http://t.co/j5lrm6wEOh"
kdnuggets,"#DataScience #Internship at RedHat, Web and Marketing Analytics, Raleigh, NC http://t.co/5xX7cgthmU"
kdnuggets,Angoss partners with WPS to allow SAS programs as part Angoss analytics workflow #BigDataCo http://t.co/hBlHQcHqDt
kdnuggets,"Beansprock, uses natural language & #MachineLearning to match you with a suitable job http://t.co/ExAiNFpXGd http://t.co/qxn3jHoBgu"
kdnuggets,"Cubitic, UK-based #MachineLearning firm offers Behavioral Prediction for mobile apps http://t.co/X1F9Nkb5FY http://t.co/ZyNeUELgR4"
kdnuggets,"Manthan, India-based analytics solutions firm, closed Series D from Temasek, Norwest Venture Partners #BigDataCo http://t.co/nZ2ekwhQse"
kdnuggets,"Top 10 Conversations That You Don't Want to Have on Data Innovation Day, by @KirkDBorne #BigData #humor http://t.co/uFkzFgNO4e"
kdnuggets,"How do #BigData technologies, pieces fit together? Great answer by @abhinavsharma, from MapReduce to Mahout and Spark http://t.co/Q0gXKFR4x0"
kdnuggets,"Great talk by #MIT Media Lab leader Sandy @Alex_Pentland: ""Social Physics: How Good Ideas Spread"" at #Google http://t.co/LX6QD9U5vU"
kdnuggets,Clarifai #MachineLearning software can understand what is in your videos #AI #advertising http://t.co/4kahZzXwp9 http://t.co/TUkopNLiFf
kdnuggets,RT @jffmendes: Open data could turn Europe's digital desert into a digital rainforest - Prof. Dirk Helbing |http://t.co/elzs75wfJD
kdnuggets,"University of the Pacific: Director, Analytics Program http://t.co/DWCNgF3ZXh"
kdnuggets,"Cyberfeminists Go Deep on #BigData, #Privacy, and Surveillance, make ""Privacy Illustrated"" http://t.co/OzsA6Y5f00 http://t.co/p8FNL9PXUp"
kdnuggets,The Post-Hadoop World: New Kid On The Block Technologies http://t.co/FKcCOvus95
kdnuggets,Analytics Outsourcing to India: Should or Shouldn't? http://t.co/FDogdE6VqZ
kdnuggets,"#BigData #Paris, March 10-11, Evenement reerent du Big Data en France: Conferences, exposition, 3000 participants http://t.co/hOkL6vshHN"
kdnuggets,@cezarm what did you find funny in K-means clustering post?
kdnuggets,RT @JasonBunk: Awesome article about avoiding common mistakes with time series! Great read before doing correlation. via @kdnuggets http://…
kdnuggets,PredictionIO: Machine Learning Evangelist http://t.co/PgOFmOV8KP
kdnuggets,"Top KDnuggets tweets, Feb 2-3: Avoiding a Common Mistake with Time Series; A New Year in Data Science, great overview http://t.co/lMmUzYxv3q"
kdnuggets,Cool! - Watch Everyday #DataScience with Thomas Ott: D3js Integration with @RapidMiner Server #Javascript http://t.co/iy1w1VpZM4
kdnuggets,#BigData Lessons From @Netflix: comparing #HouseofCards and #Macbeth Insights http://t.co/udlpSacbke http://t.co/Vixp1CKpC8
kdnuggets,"Useful reference: Roundup of #Analytics, #BigData & #BI Forecasts, Market Estimates, 2014 http://t.co/brbCvyhqAk http://t.co/qekBp5sqNE"
kdnuggets,"9 Places to Get #BigData: Data dot gov, Gapminer, AWS, NYTiimes, Free GIS Data ( KDnuggets http://t.co/3gXjecCmHc)  http://t.co/Ksayl4vr5R"
kdnuggets,"Watch: Deep Lab cyberfeminists examine #privacy, #security, anonymity, and #BigData in arts, culture and society http://t.co/p5HDDUbfg7"
kdnuggets,"Reengineering privacy, post-Snowden - biggest surprise in NSA documents is lack of surprises http://t.co/mVwTk7swzA http://t.co/u1YxUGKw9T"
kdnuggets,"#BigData tool experience and tech salaries: #PhD is +$11K, #cloud +$13K, women $13K less http://t.co/0ZKc4c63lb http://t.co/XWEqddDG0k"
kdnuggets,Amazon Web Services #AWS offering federal agencies free access to its Trusted Advisor program through Feb. 27 http://t.co/Ac0hDwVlwI
kdnuggets,"Graylog, Houston firm making open-source log analysis platform, raises $2.5M to expand #BigDataCo http://t.co/JOuMc91VAC"
kdnuggets,"Interview: Rachel Hawley, SAS on Why Data Science Needs Communication Skills http://t.co/AyUX679sF9"
kdnuggets,2014 was the biggest year for #AI startups: The Return of Artificial Intelligence http://t.co/B8ysZJ1zE4 http://t.co/9EYg4f9tia
kdnuggets,"HP Doubles Down on #Cloud, leverages HP Haven #analytics for data lifecycle mgmt, legal workflow, #risk management http://t.co/13UeJEQSTU"
kdnuggets,RT @BigDataTechCon: Why the #Hadoop big data bubble will continue to expand in 2015 http://t.co/IA9JKyzJKh #BigData
kdnuggets,Apocalypse or golden age: What machine intelligence #AI will do to us @LoopAILabs http://t.co/N7REuh59Qr http://t.co/RsFITo87Uz
kdnuggets,"Lavastorm adds Predictive #Analytics capabilities, easy to use for Business Analysts http://t.co/a9d1pcTEEL http://t.co/572iL5NEeE"
kdnuggets,"KDnuggets  News 15:n04, Feb 4 http://t.co/Xt5gDAf5Ox"
kdnuggets,Data for @BarackObama #WhiteHouse Fiscal Year 2016 Budget on #github http://t.co/E6tRNcQZNo
kdnuggets,Webinar: Data Mining: Failure to Launch [Feb 10] http://t.co/PBhOG4LVde
kdnuggets,Score big with Amazon Mobile #Analytics and Amazon Redshift: how to analyze app user behavior http://t.co/5yFlI14ava http://t.co/p1DVDbmzmk
kdnuggets,"TeraDeep wants to bring #DeepLearning to dumb devices - if you look human, it will detect you http://t.co/wHoITWKSWt http://t.co/UAtbYXbDYz"
kdnuggets,March #MachineLearning Mania 2015 on @Kaggle: predict 2015 #NCAA #Basketball brackets http://t.co/3YIrUqsEsE http://t.co/6wBWfFgi8y
kdnuggets,"Cloudera buys Xplain.io, which automates design of #SQL,#NoSQL data models, aims at Self-serve #Analytics #BigDataCo http://t.co/CZxOfxofIS"
kdnuggets,"#DataMining Congress? Renren leads $10M investment in FiscalNote,  DC startup that forecasts legislation #BigDataCo http://t.co/rncvbKoB9X"
kdnuggets,"Guardant Health, life-sciences firm to diagnose cancer with a blood test, raised $50M Series C #BigDataCo http://t.co/rejveJuEJP"
kdnuggets,Meet the Ultimate WikiGnome - on a quest to rid Wikipedia of exactly one grammatical error http://t.co/4neBdyHAHB http://t.co/eBOhJMZxIc
kdnuggets,"Baidu Chief Scientist, #DeepLearning guru @AndrewYNg: I think the fears about “evil killer robots” are overblown http://t.co/QOhYjOgoxK"
kdnuggets,"How I did on Twitter this week: 315 New Followers, 263 Mentions, 450K Mention Reach. How'd your week go? via http://t.co/VudI8T1y4R"
kdnuggets,"Interview: Rachel Hawley, SAS on the Quest for Agile Analytics http://t.co/pUiJOg5uz9"
kdnuggets,RT @Ayasdi: And the trifecta....part 3 of @anthony_bak interview with @hey_anmol over @kdnuggets http://t.co/SE17VdaGU1 http://t.co/4uygeRf…
kdnuggets,"Gartner Business Intelligence & Analytics Summit, Las Vegas, Mar 30 - Apr 1 http://t.co/ov96tJe9S2"
kdnuggets,"Quora VP @xamat on practical topics not in #MachineLearning courses: when increase data, model complexity or both? http://t.co/penyOBcIz1"
kdnuggets,"#Statistics is the fastest-growing undergraduate STEM degree, 95%  up from 2010 to 2013 http://t.co/hwqWXQHs86 http://t.co/D7IWzWJcWw"
kdnuggets,"How #Predictive #Analytics Reinvents 6 Industries, @Pawcon founder Eric Siegel explains http://t.co/DOLMaKX1Sk http://t.co/NbM1MQYS6v"
kdnuggets,"Rabbit, a free web book - Introduction to R: setup, objects, data import/export, functions, graphics, models #rstats http://t.co/bTfbjWIYjU"
kdnuggets,"ZocDoc: Engineering Manager, Data Engineering http://t.co/9iVFdcpTYK"
kdnuggets,"PASS Business Analytics Conference, Santa Clara, Apr 20-22 http://t.co/ChmuNjYh1O"
kdnuggets,"Upcoming Feb - July 2015 Meetings in Analytics, Big Data, Mining, Data Science http://t.co/Johfjsd9vX"
kdnuggets,"Upcoming Webcasts on Analytics, Big Data, Data Science - Feb 3 and beyond http://t.co/pw8VYvs3AG"
kdnuggets,RT @susvis: The winner is: Newsmash!  They won the IBM Analytics category @UofTHacks! Congrats to @marc_mlht - Well deserved 2k cash prize!…
kdnuggets,"SCIO Health Analytics buys Data Intelligence, UK-based provider of #analytics for pharma sales/marketing #BigDataCo http://t.co/OjQQ3LGTsh"
kdnuggets,"Interview: Eli Collins, Cloudera on Evolution and Future of Big Data Ecosystem http://t.co/KtD6k2FiUV"
analyticbridge,Best solution to a problem: #datascience versus statistical paradigm: http://t.co/AohNkPtJ84
analyticbridge,Some #statisticians have a biased view on data science: http://t.co/DW2TegotVt
analyticbridge,"#Datascience without statistics is possible, even desirable: http://t.co/rVD3VFFenb"
analyticbridge,#Datascience: It's greater than the sum of the parts: http://t.co/2NX1klbzgb
analyticbridge,Vaccination: The impact of asking the wrong question: http://t.co/IadEWq2Ucy
analyticbridge,Salary surveys for #datascientists - http://t.co/GL4bgVlUZj
analyticbridge,Big Data: What Are The Key Jobs and Salaries Available?: http://t.co/iFR9V2ZJ3N
analyticbridge,BIG DATA storage and old DBMS technique comparison http://t.co/EYOQ531ROc
analyticbridge,5 Key Big Data Challenges in Banking Industry http://t.co/EtTd1qd66Q
analyticbridge,Top 10 List - The V's of Big Data http://t.co/K5GQYxx2Iv
analyticbridge,PCORI meets and exceeds its goals for 2013 .... now let's look towards theexpected successes of 2014 !!! http://t.co/7gDFQWMKTq
analyticbridge,RT @tableau: Life expectancy by country - see the impact of war and other disasters. http://t.co/Nmbh6gPF2j http://t.co/2i6eC8206v
analyticbridge,Unicorn Data Scientist Shares his Secrets with You http://t.co/iTKVp6quHQ
analyticbridge,What do the MISTAKES made by Medical Doctors and HR - Hiring personnel have incommon? http://t.co/U5bRvEpNW6
analyticbridge,Data Science Dictionary http://t.co/vYb7MSGg8s
analyticbridge,Hadoop vs. NoSql vs. Sql vs. NewSql By Example http://t.co/fEV2SGs5Rb
